rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
180,3,13,10,0.4082150958346987,4.531213412899926,0.24512036774021795,2.1244579780759043
181,4,17,13,0.4380942497607359,2.0480314057096294,0.3819320893592216,1.5946500402087396
182,7,21,14,0.46171876786829924,3.264338361529495,0.37496128597155987,2.105316985845556
183,14,22,8,0.4953392863279158,3.040470282569881,0.38163039763915074,2.1262133610632463
184,4,18,14,0.5043360970206231,3.7957095020883376,0.4445026850360403,1.9327923026846472
185,1,11,10,0.5253110297828166,3.9405565546264127,0.41350285144767984,2.264248178532463
186,2,12,10,0.5419893643699443,6.8068750473442075,0.340843985951839,3.611640360222824
187,6,21,15,0.5529939843440372,4.21937272751201,0.46640182092048077,2.0458077981135703
188,13,22,9,0.576171825405332,3.8149794557426917,0.44899958893700576,2.4071038938525917
189,4,19,15,0.5873989649093732,2.889715711021075,0.4645989189451553,1.7588508687590803
190,18,23,5,0.5911364655664608,5.490261020126242,0.45287842977402953,2.5217489806032556
191,3,15,12,0.6010910795370549,4.523647994556285,0.3855267839241527,3.021935377884338
192,3,16,13,0.6081892567874817,5.613008931157111,0.4138274594209178,2.3259025720425326
193,3,18,15,0.6296024096575698,4.456010524813658,0.4747135980855937,2.3669502883705413
194,2,14,12,0.6634231306462599,6.038132427591755,0.4427477076963698,3.5550199473758894
195,4,20,16,0.6643807702610814,3.922542849351588,0.4908875936884582,2.070091909438587
196,12,22,10,0.6691074707185164,3.9825308477763794,0.6301948212467712,3.167529830070017
197,2,10,8,0.717705016101049,5.272604085266421,0.5455309378070847,3.6179801208982516
198,11,22,11,0.7585361481629121,4.376205666037727,0.6780841912046092,3.4245782302231524
199,17,23,6,0.7988745612122002,5.118876225133403,0.6346808329073832,3.003548759011072
200,10,22,12,0.8641852100648194,5.291715904175127,0.7622281478688795,3.6137032334999724
201,5,21,16,0.8701853377583849,5.192036794962282,0.6947721305010215,3.448988752975208
202,9,22,13,0.9757853095418045,5.825802586351417,0.8764866350596987,3.78229207660929
203,1,3,2,1.033085091618598,7.641664857404213,0.791868987195754,4.915136532971895
204,2,9,7,1.0415985748647603,6.409680477082894,0.7983635072927576,4.678161520618766
205,16,23,7,1.0926491218486134,6.193459091863992,0.911046048542623,3.7990617743354687
206,2,15,13,1.117230166273701,6.509926430092403,0.8950342006664858,5.704227728468219
207,8,22,14,1.1693029968143798,5.791503958312263,1.0101434558697733,4.525872883135971
208,1,12,11,1.199238930587416,6.7449323737237075,1.0466987373806267,4.687101069489863
209,15,23,8,1.3285042846413493,6.708028507183604,1.2048143658878334,4.508517403670504
210,7,22,15,1.3493634932887404,8.79985235884749,1.235983273300569,4.836287887659567
211,4,21,17,1.3867177240651904,5.629926453575728,1.14131471895426,5.0688129538704105
212,3,17,14,1.4266149158348755,9.669734564331067,1.2633330756989343,4.948555189127934
213,1,15,14,1.517913535563051,5.88250795598028,1.4770770963710114,5.320434598040468
214,2,13,11,1.536583845626383,9.779674507652452,1.3062706038846004,6.935470803898689
